UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,timestamp,ambient_temp_C,load_density_pct,ambient_temp_K,temp_differential_K,load_adjusted_torque,wear_per_load,Type_enc
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,1/1/2024 6:10,19.77947641,41.46150276,292.9294764,5.870523585,92.31891821,43.11996287,1
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,1/1/2024 6:20,19.77947641,41.46150276,292.9294764,5.970523585,119.4022743,43.94919292,0
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,1/1/2024 6:30,19.77947641,41.46150276,292.9294764,5.870523585,123.6414083,46.02226806,1
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,1/1/2024 6:40,20.16558785,33.71071812,293.3155879,5.484412148,130.7953349,38.09311148,1
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,1/1/2024 6:50,20.16558785,33.71071812,293.3155879,5.484412148,146.3524892,38.76732584,1
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,1/1/2024 7:00,20.16558785,33.71071812,293.3155879,5.484412148,141.4548666,39.4415402,2
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,1/1/2024 7:10,20.16558785,33.71071812,293.3155879,5.484412148,139.7262938,40.45286175,0
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,1/1/2024 7:20,20.16558785,33.71071812,293.3155879,5.484412148,136.8453393,42.13839765,2
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,1/1/2024 7:30,20.16558785,33.71071812,293.3155879,5.484412148,141.4548666,43.1497192,1
47,M14906,M,298.7,309,1843,25.8,130,0,0,0,0,0,0,1/1/2024 7:40,20.38196533,84.86863408,293.5319653,5.168034666,30.04589543,110.3292243,2
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,1/1/2024 7:50,20.38196533,84.86863408,293.5319653,5.268034666,53.91957202,112.8752833,1
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,1/1/2024 8:00,20.38196533,84.86863408,293.5319653,5.268034666,62.77030091,114.572656,0
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,1/1/2024 8:10,20.38196533,84.86863408,293.5319653,5.368034666,51.35751893,118.8160877,2
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,1/1/2024 8:20,20.38196533,84.86863408,293.5319653,5.368034666,5.357020115,121.3621467,1
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,1/1/2024 8:30,20.38196533,84.86863408,293.5319653,5.368034666,63.9348705,123.0595194,1
53,H29466,H,298.8,309,1497,43.8,147,0,0,0,0,0,0,1/1/2024 8:40,22.4856881,86.08526421,295.6356881,3.164311897,50.29553553,126.5453384,0
54,L47233,L,298.7,309,1565,35.1,152,0,0,0,0,0,0,1/1/2024 8:50,22.4856881,86.08526421,295.6356881,3.064311897,40.30532642,130.8496016,1
55,L47234,L,298.7,309,1691,30.1,154,0,0,0,0,0,0,1/1/2024 9:00,22.4856881,86.08526421,295.6356881,3.064311897,34.56382693,132.5713069,1
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,1/1/2024 9:10,22.4856881,86.08526421,295.6356881,3.164311897,46.73580585,134.2930122,1
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,1/1/2024 9:20,22.4856881,86.08526421,295.6356881,3.164311897,48.68791567,136.0147174,1
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,1/1/2024 9:30,22.4856881,86.08526421,295.6356881,3.164311897,46.27648589,137.7364227,1
59,M14918,M,298.8,309,1661,29.5,162,0,0,0,0,0,0,1/1/2024 9:40,22.97500114,83.99324359,296.1250011,2.67499886,34.70864124,136.0690546,2
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,1/1/2024 9:50,22.97500114,83.99324359,296.1250011,2.67499886,64.00508758,138.5888519,1
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,1/1/2024 10:00,22.97500114,83.99324359,296.1250011,2.67499886,61.88727218,140.2687168,1
62,M14921,M,298.8,309,1592,38.2,169,0,0,0,0,0,0,1/1/2024 10:10,22.97500114,83.99324359,296.1250011,2.67499886,44.944749,141.9485817,2
63,L47242,L,298.8,309,1829,22.9,172,0,0,0,0,0,0,1/1/2024 10:20,22.97500114,83.99324359,296.1250011,2.67499886,26.94331812,144.468379,1
64,M14923,M,298.9,309,1812,25.9,174,0,0,0,0,0,0,1/1/2024 10:30,22.97500114,83.99324359,296.1250011,2.77499886,30.47301045,146.1482439,2
65,L47244,L,299,309.1,1523,38.6,177,0,0,0,0,0,0,1/1/2024 10:40,24.17905627,78.27351875,297.3290563,1.670943734,48.6921744,138.5441282,1
66,L47245,L,299,309.1,1394,45.1,179,0,0,0,0,0,0,1/1/2024 10:50,24.17905627,78.27351875,297.3290563,1.670943734,56.89163382,140.1095986,1
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,1/1/2024 11:00,24.17905627,78.27351875,297.3290563,1.570943734,36.20376697,141.6750689,2
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,1/1/2024 11:10,24.17905627,78.27351875,297.3290563,1.470943734,55.63017852,144.0232745,0
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,1/1/2024 11:20,24.17905627,78.27351875,297.3290563,1.470943734,40.87115157,147.9369504,1
70,L47249,L,298.9,309,1410,65.7,191,1,0,0,1,1,0,1/1/2024 11:30,24.17905627,78.27351875,297.3290563,1.570943734,82.8776129,149.5024208,1
71,M14930,M,298.9,309,1924,22.6,193,0,0,0,0,0,0,1/1/2024 11:40,25.78074379,81.61492036,298.9307438,-0.030743792,27.35583343,157.5167963,2
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,1/1/2024 11:50,25.78074379,81.61492036,298.9307438,-0.030743792,55.07479739,159.9652439,1
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,1/1/2024 12:00,25.78074379,81.61492036,298.9307438,-0.030743792,53.74331877,161.5975423,1
74,L47253,L,299,309.1,1592,35,200,0,0,0,0,0,0,1/1/2024 12:10,25.78074379,81.61492036,298.9307438,0.069256208,42.36522876,163.2298407,1
75,L47254,L,298.9,309,1601,32.3,202,0,0,0,0,0,0,1/1/2024 12:20,25.78074379,81.61492036,298.9307438,-0.030743792,39.09705397,164.8621391,1
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,1/1/2024 12:30,25.78074379,81.61492036,298.9307438,-0.130743792,56.52731952,166.4944375,1
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,1/1/2024 12:40,24.85114289,79.90321757,298.0011429,0.798857108,59.2065451,164.6006282,1
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,1/1/2024 12:50,24.85114289,79.90321757,298.0011429,0.798857108,51.04864953,166.1986926,1
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,1/1/2024 13:00,24.85114289,79.90321757,298.0011429,0.798857108,63.65630632,0,1
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,1/1/2024 13:10,24.85114289,79.90321757,298.0011429,0.798857108,46.84609727,1.598064351,1
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,1/1/2024 13:20,24.85114289,79.90321757,298.0011429,0.798857108,61.67863467,3.196128703,0
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,1/1/2024 13:30,24.85114289,79.90321757,298.0011429,0.898857108,58.71212719,7.191289582,1
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,1/1/2024 13:40,25.50133493,76.38519256,298.6513349,0.248665066,52.72326482,8.402371181,1
84,L47263,L,299,309,1469,40.1,13,0,0,0,0,0,0,1/1/2024 13:50,25.50133493,76.38519256,298.6513349,0.348665066,51.818699,9.930075032,1
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,1/1/2024 14:00,25.50133493,76.38519256,298.6513349,0.248665066,61.51047562,11.45777888,1
86,M14945,M,299,309,1804,26.8,17,0,0,0,0,0,0,1/1/2024 14:10,25.50133493,76.38519256,298.6513349,0.348665066,34.63194846,12.98548273,2
87,H29500,H,299,309,1436,43.9,20,0,0,0,0,0,0,1/1/2024 14:20,25.50133493,76.38519256,298.6513349,0.348665066,56.72919915,15.27703851,0
88,L47267,L,299,309,1544,31.8,25,0,0,0,0,0,0,1/1/2024 14:30,25.50133493,76.38519256,298.6513349,0.348665066,41.09313287,19.09629814,1
89,M14948,M,299,309,1419,45.2,27,0,0,0,0,0,0,1/1/2024 14:40,26.60181005,81.29743713,299.75181,-0.751810045,54.92273098,21.95030802,2
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,1/1/2024 14:50,26.60181005,81.29743713,299.75181,-0.851810045,47.99663438,24.38923114,2
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,1/1/2024 15:00,26.60181005,81.29743713,299.75181,-0.851810045,31.34970043,26.82815425,1
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,1/1/2024 15:10,26.60181005,81.29743713,299.75181,-0.851810045,30.25610623,28.45410299,1
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,1/1/2024 15:20,26.60181005,81.29743713,299.75181,-0.851810045,32.9293365,30.08005174,2
94,L47273,L,299.1,309,1450,43,40,0,0,0,0,0,0,1/1/2024 15:30,26.60181005,81.29743713,299.75181,-0.651810045,52.24950071,32.51897485,1
95,L47274,L,299,308.9,1622,31.9,42,0,0,0,0,0,0,1/1/2024 15:40,26.0710043,55.28384084,299.2210043,-0.221004304,56.67701338,23.21921315,1
96,M14955,M,299,309,1351,52.2,44,0,0,0,0,0,0,1/1/2024 15:50,26.0710043,55.28384084,299.2210043,-0.221004304,92.74420371,24.32488997,2
97,M14956,M,299,309,1575,35.3,47,0,0,0,0,0,0,1/1/2024 16:00,26.0710043,55.28384084,299.2210043,-0.221004304,62.71782358,25.98340519,2
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,1/1/2024 16:10,26.0710043,55.28384084,299.2210043,-0.321004304,53.12359561,27.64192042,2
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,1/1/2024 16:20,26.0710043,55.28384084,299.2210043,-0.321004304,58.09838048,29.30043564,1
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,1/1/2024 16:30,26.0710043,55.28384084,299.2210043,-0.421004304,78.88587442,30.40611246,1
101,L47280,L,298.8,308.9,1852,25,57,0,0,0,0,0,0,1/1/2024 16:40,26.63316495,64.75071755,299.783165,-0.983164953,38.02239874,36.90790901,1
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,1/1/2024 16:50,26.63316495,64.75071755,299.783165,-0.983164953,31.48254615,38.20292336,1
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,1/1/2024 17:00,26.63316495,64.75071755,299.783165,-0.983164953,61.74837555,39.49793771,1
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,1/1/2024 17:10,26.63316495,64.75071755,299.783165,-0.983164953,61.59628595,40.79295206,2
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,1/1/2024 17:20,26.63316495,64.75071755,299.783165,-0.983164953,66.00688421,42.73547359,1
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,1/1/2024 17:30,26.63316495,64.75071755,299.783165,-0.983164953,47.29986403,44.03048794,1
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,1/1/2024 17:40,24.86075471,58.14153081,298.0107547,0.789245286,82.00666999,40.69907157,1
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,1/1/2024 17:50,24.86075471,58.14153081,298.0107547,0.789245286,79.13220939,41.86190218,2
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,1/1/2024 18:00,24.86075471,58.14153081,298.0107547,0.889245286,55.29109503,43.60614811,0
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,1/1/2024 18:10,24.86075471,58.14153081,298.0107547,0.889245286,57.65829787,46.51322465,1
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,1/1/2024 18:20,24.86075471,58.14153081,298.0107547,0.789245286,38.04433144,47.67605526,1
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,1/1/2024 18:30,24.86075471,58.14153081,298.0107547,0.689245286,73.55237412,48.83888588,0
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,1/1/2024 18:40,23.42179711,60.80463862,296.5717971,2.228202893,63.91106053,54.11612837,2
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,1/1/2024 18:50,23.42179711,60.80463862,296.5717971,2.228202893,67.79426421,55.94026753,2
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,1/1/2024 19:00,23.42179711,60.80463862,296.5717971,2.228202893,47.56924505,57.76440669,1
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,1/1/2024 19:10,23.42179711,60.80463862,296.5717971,2.228202893,73.94267003,58.98049946,1
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,1/1/2024 19:20,23.42179711,60.80463862,296.5717971,2.328202893,55.17385225,60.19659224,1
118,L47297,L,298.8,308.6,1599,33,101,0,0,0,0,0,0,1/1/2024 19:30,23.42179711,60.80463862,296.5717971,2.228202893,53.39405057,61.41268501,1
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,1/1/2024 19:40,24.51825431,61.13315149,297.6682543,1.131745691,45.22545425,62.96714603,2
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,1/1/2024 19:50,24.51825431,61.13315149,297.6682543,1.031745691,65.50448356,64.80114058,1
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,1/1/2024 20:00,24.51825431,61.13315149,297.6682543,1.231745691,71.94227064,66.02380361,1
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,1/1/2024 20:10,24.51825431,61.13315149,297.6682543,1.231745691,66.30920694,67.24646663,1
123,L47302,L,299,308.8,1310,50.7,112,0,0,0,0,0,0,1/1/2024 20:20,24.51825431,61.13315149,297.6682543,1.331745691,81.59895126,68.46912966,1
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,1/1/2024 20:30,24.51825431,61.13315149,297.6682543,1.231745691,69.84998984,69.69179269,1
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,1/1/2024 20:40,21.87101903,58.96438011,295.021019,3.878980972,49.02910686,68.39868092,1
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,1/1/2024 20:50,21.87101903,58.96438011,295.021019,3.878980972,53.69854561,69.57796852,1
127,L47306,L,299,308.6,1329,60.5,120,0,0,0,0,0,0,1/1/2024 21:00,21.87101903,58.96438011,295.021019,3.978980972,100.8932301,70.75725613,1
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,1/1/2024 21:10,21.87101903,58.96438011,295.021019,3.878980972,77.54603636,71.93654373,1
129,L47308,L,299,308.6,1587,38.6,124,0,0,0,0,0,0,1/1/2024 21:20,21.87101903,58.96438011,295.021019,3.978980972,64.37154846,73.11583133,1
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,1/1/2024 21:30,21.87101903,58.96438011,295.021019,3.878980972,57.20062467,74.29511893,1
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,1/1/2024 21:40,20.81156741,62.34677521,293.9615674,4.838432593,64.8809665,79.80387226,1
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,1/1/2024 21:50,20.81156741,62.34677521,293.9615674,4.838432593,43.72756136,81.05080777,1
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,1/1/2024 22:00,20.81156741,62.34677521,293.9615674,4.738432593,68.19605238,82.29774327,2
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,1/1/2024 22:10,20.81156741,62.34677521,293.9615674,4.738432593,78.29917125,84.16814653,2
135,L47314,L,298.8,308.4,1369,53,138,0,0,0,0,0,0,1/1/2024 22:20,20.81156741,62.34677521,293.9615674,4.838432593,83.66645315,86.03854978,1
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,1/1/2024 22:30,20.81156741,62.34677521,293.9615674,4.838432593,44.99045122,87.28548529,2
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,1/1/2024 22:40,18.41184152,58.10038537,291.5618415,7.138158481,77.32606092,83.08355108,0
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,1/1/2024 22:50,18.41184152,58.10038537,291.5618415,7.138158481,93.56960983,85.98857035,1
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,1/1/2024 23:00,18.41184152,58.10038537,291.5618415,7.238158481,83.5865954,87.15057806,0
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,1/1/2024 23:10,18.41184152,58.10038537,291.5618415,7.238158481,94.415628,90.05559733,1
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,1/1/2024 23:20,18.41184152,58.10038537,291.5618415,7.238158481,61.08251202,91.21760504,1
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,1/1/2024 23:30,18.41184152,58.10038537,291.5618415,7.138158481,59.55967931,92.37961274,1
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,1/1/2024 23:40,18.13222475,38.48518919,291.2822247,7.317775251,71.4191842,61.9611546,2
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,1/1/2024 23:50,18.13222475,38.48518919,291.2822247,7.317775251,127.8960568,63.11571027,0
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,1/2/2024 0:00,18.13222475,38.48518919,291.2822247,7.317775251,107.3820358,65.03996973,2
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,1/2/2024 0:10,18.13222475,38.48518919,291.2822247,7.217775251,85.0951982,66.19452541,1
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,1/2/2024 0:20,18.13222475,38.48518919,291.2822247,7.217775251,91.42668616,66.96422919,0
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,1/2/2024 0:30,18.13222475,38.48518919,291.2822247,7.117775251,101.5570669,68.88848865,1
149,M15008,M,298.3,308.3,1379,48,181,0,0,0,0,0,0,1/2/2024 0:40,17.86187589,29.61608128,291.0118759,7.288124112,156.780352,53.60510712,2
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,1/2/2024 0:50,17.86187589,29.61608128,291.0118759,7.388124112,130.3236676,54.49358955,1
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,1/2/2024 1:00,17.86187589,29.61608128,291.0118759,7.388124112,139.4691881,55.08591118,1
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,1/2/2024 1:10,17.86187589,29.61608128,291.0118759,7.388124112,122.8112757,55.6782328,2
153,M15012,M,298.4,308.2,1584,41,191,0,0,0,0,0,0,1/2/2024 1:20,17.86187589,29.61608128,291.0118759,7.388124112,133.9165507,56.56671524,2
154,L47333,L,298.4,308.2,1850,27,194,0,0,0,0,0,0,1/2/2024 1:30,17.86187589,29.61608128,291.0118759,7.388124112,88.188948,57.45519768,1
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,1/2/2024 1:40,16.35284084,35.50551832,289.5028408,8.897159159,99.16309004,69.5908159,1
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,1/2/2024 1:50,16.35284084,35.50551832,289.5028408,8.897159159,54.23837522,70.30092627,0
157,M15016,M,298.4,308.1,1495,46,203,0,0,0,0,0,0,1/2/2024 2:00,16.35284084,35.50551832,289.5028408,8.897159159,126.0083465,72.07620219,2
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,1/2/2024 2:10,16.35284084,35.50551832,289.5028408,8.897159159,119.1600668,73.14136774,0
159,M15018,M,298.4,308.2,1499,40,211,0,0,0,0,0,0,1/2/2024 2:20,16.35284084,35.50551832,289.5028408,8.897159159,109.5724752,74.91664365,2
160,L47339,L,298.4,308.2,1471,47,214,0,0,0,0,0,0,1/2/2024 2:30,16.35284084,35.50551832,289.5028408,8.897159159,128.7476583,75.9818092,1
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,1/2/2024 2:40,17.40382325,42.755716,290.5538232,7.84617675,138.7247326,92.35234655,1
