Machine_ID,Health_Score,Status,Failure_Probability,RUL,Recommendation
M323,18.0,Critical ,81.2,Critical,✓ Inspect tool wear
M324,66.0,Warning ,0.0,7 days,✓ Inspect tool wear
M325,65.3,Warning ,0.0,7 days,✓ Inspect tool wear
M326,59.6,Warning ,0.0,7 days,✓ Inspect tool wear
M327,61.3,Warning ,0.0,7 days,✓ Inspect tool wear
M328,61.4,Warning ,0.0,7 days,✓ Inspect tool wear
M329,63.5,Warning ,0.0,7 days,✓ Inspect tool wear
M330,76.7,Good ,0.0,14 days,✓ Continue monitoring normally
M331,62.8,Warning ,0.0,7 days,✓ Inspect tool wear
M332,60.6,Warning ,0.0,7 days,✓ Inspect tool wear
M333,64.2,Warning ,0.1,7 days,✓ Inspect tool wear
M334,62.1,Warning ,0.0,7 days,✓ Inspect tool wear
M335,61.4,Warning ,0.0,7 days,✓ Inspect tool wear
M336,64.0,Warning ,0.0,7 days,✓ Inspect tool wear
M337,76.3,Good ,0.0,14 days,✓ Inspect tool wear
M338,62.9,Warning ,0.0,7 days,✓ Inspect tool wear
M339,48.9,Poor ,18.6,2-3 days,✓ Inspect tool wear
M340,66.1,Warning ,0.1,7 days,✓ Inspect tool wear
M341,61.1,Warning ,0.0,7 days,✓ Inspect tool wear
M342,70.0,Warning ,0.0,14 days,✓ Inspect tool wear
M343,61.7,Warning ,0.0,7 days,✓ Inspect tool wear
M344,63.2,Warning ,0.0,7 days,✓ Inspect tool wear
M345,60.1,Warning ,0.0,7 days,✓ Inspect tool wear
M346,63.6,Warning ,0.0,7 days,✓ Inspect tool wear
M347,62.4,Warning ,0.6,7 days,✓ Inspect tool wear
M348,59.8,Warning ,0.0,7 days,✓ Inspect tool wear
M349,57.2,Warning ,3.6,7 days,✓ Inspect tool wear
M350,63.7,Warning ,0.0,7 days,✓ Inspect tool wear
M351,59.3,Warning ,0.3,7 days,✓ Inspect tool wear
M352,61.6,Warning ,0.0,7 days,✓ Inspect tool wear
M353,60.8,Warning ,0.0,7 days,✓ Inspect tool wear
M354,61.3,Warning ,0.0,7 days,✓ Inspect tool wear
M355,58.4,Warning ,2.4,7 days,✓ Inspect tool wear
M356,74.2,Warning ,0.0,14 days,✓ Inspect tool wear
M357,61.2,Warning ,0.0,7 days,✓ Inspect tool wear
M358,63.8,Warning ,0.0,7 days,✓ Inspect tool wear
M359,65.9,Warning ,0.0,7 days,✓ Inspect tool wear
M360,59.8,Warning ,0.0,7 days,✓ Inspect tool wear
M361,60.4,Warning ,0.0,7 days,✓ Inspect tool wear
M362,63.4,Warning ,0.0,7 days,✓ Inspect tool wear
M363,66.5,Warning ,0.0,7 days,✓ Inspect tool wear
M364,60.2,Warning ,0.0,7 days,✓ Inspect tool wear
M365,62.9,Warning ,0.0,7 days,✓ Inspect tool wear
M366,62.9,Warning ,0.0,7 days,✓ Inspect tool wear
M367,64.2,Warning ,0.0,7 days,✓ Inspect tool wear
M368,59.6,Warning ,0.0,7 days,✓ Inspect tool wear
M369,63.1,Warning ,0.0,7 days,✓ Inspect tool wear
M370,66.0,Warning ,0.1,7 days,✓ Inspect tool wear
M371,62.6,Warning ,0.0,7 days,✓ Inspect tool wear
M372,60.0,Warning ,0.0,7 days,✓ Inspect tool wear
M373,61.2,Warning ,0.0,7 days,✓ Inspect tool wear
M374,62.3,Warning ,0.0,7 days,✓ Inspect tool wear
M375,80.0,Good ,0.0,14 days,✓ Continue monitoring normally
M376,59.7,Warning ,0.1,7 days,✓ Inspect tool wear
M377,59.1,Warning ,0.0,7 days,✓ Inspect tool wear
M378,60.0,Warning ,0.0,7 days,✓ Inspect tool wear
M379,59.8,Warning ,0.0,7 days,✓ Inspect tool wear
M380,60.4,Warning ,0.1,7 days,✓ Inspect tool wear
M381,59.1,Warning ,0.1,7 days,✓ Inspect tool wear
M382,68.6,Warning ,0.0,7 days,✓ Inspect tool wear
M383,60.4,Warning ,0.0,7 days,✓ Inspect tool wear
M384,63.1,Warning ,0.0,7 days,✓ Inspect tool wear
M385,58.5,Warning ,1.3,7 days,✓ Inspect tool wear
M386,60.2,Warning ,0.0,7 days,✓ Inspect tool wear
M387,61.6,Warning ,0.0,7 days,✓ Inspect tool wear
M388,61.1,Warning ,0.0,7 days,✓ Inspect tool wear
M389,65.7,Warning ,0.1,7 days,✓ Inspect tool wear
M390,66.7,Warning ,0.2,7 days,✓ Inspect tool wear
M391,63.8,Warning ,0.0,7 days,✓ Inspect tool wear
M392,63.3,Warning ,0.0,7 days,✓ Inspect tool wear
M393,62.0,Warning ,0.0,7 days,✓ Inspect tool wear
M394,60.3,Warning ,0.1,7 days,✓ Inspect tool wear
M395,60.8,Warning ,0.0,7 days,✓ Inspect tool wear
M396,59.7,Warning ,0.1,7 days,✓ Inspect tool wear
M397,66.7,Warning ,0.0,7 days,✓ Inspect tool wear
M398,64.5,Warning ,0.0,7 days,✓ Inspect tool wear
M399,62.5,Warning ,0.0,7 days,✓ Inspect tool wear
M400,63.1,Warning ,0.0,7 days,✓ Inspect tool wear
M401,61.8,Warning ,0.0,7 days,✓ Inspect tool wear
M402,10.5,Critical ,96.0,Critical,✓ Inspect tool wear
M403,59.5,Warning ,0.1,7 days,✓ Inspect tool wear
M404,58.8,Warning ,0.3,7 days,✓ Inspect tool wear
M405,63.3,Warning ,0.0,7 days,✓ Inspect tool wear
M406,61.7,Warning ,0.0,7 days,✓ Inspect tool wear
M407,63.0,Warning ,0.0,7 days,✓ Inspect tool wear
M408,63.1,Warning ,0.0,7 days,✓ Inspect tool wear
M409,60.9,Warning ,0.1,7 days,✓ Inspect tool wear
M410,59.3,Warning ,0.0,7 days,✓ Inspect tool wear
M411,62.6,Warning ,0.0,7 days,✓ Inspect tool wear
M412,61.8,Warning ,0.1,7 days,✓ Inspect tool wear
M413,63.2,Warning ,0.0,7 days,✓ Inspect tool wear
M414,62.5,Warning ,0.0,7 days,✓ Inspect tool wear
M415,65.0,Warning ,0.0,7 days,✓ Inspect tool wear
M416,60.9,Warning ,0.0,7 days,✓ Inspect tool wear
M417,64.0,Warning ,0.0,7 days,✓ Inspect tool wear
M418,75.0,Good ,0.0,14 days,✓ Inspect tool wear
M419,60.3,Warning ,0.0,7 days,✓ Inspect tool wear
M420,62.1,Warning ,0.0,7 days,✓ Inspect tool wear
M421,63.1,Warning ,0.0,7 days,✓ Inspect tool wear
M422,60.9,Warning ,0.0,7 days,✓ Inspect tool wear
M423,64.1,Warning ,0.0,7 days,✓ Inspect tool wear
M424,66.5,Warning ,0.0,7 days,✓ Inspect tool wear
M425,61.0,Warning ,0.0,7 days,✓ Inspect tool wear
M426,59.7,Warning ,1.5,7 days,✓ Inspect tool wear
M427,63.9,Warning ,0.0,7 days,✓ Inspect tool wear
M428,60.9,Warning ,0.2,7 days,✓ Inspect tool wear
M429,59.7,Warning ,0.3,7 days,✓ Inspect tool wear
M430,62.1,Warning ,0.0,7 days,✓ Inspect tool wear
M431,60.3,Warning ,0.0,7 days,✓ Inspect tool wear
M432,59.6,Warning ,0.0,7 days,✓ Inspect tool wear
M433,71.3,Warning ,0.0,14 days,✓ Inspect tool wear
M434,63.5,Warning ,0.0,7 days,✓ Inspect tool wear
M435,78.7,Good ,0.0,14 days,✓ Continue monitoring normally
M436,62.8,Warning ,0.3,7 days,✓ Inspect tool wear
M437,62.5,Warning ,0.0,7 days,✓ Inspect tool wear
M438,58.2,Warning ,1.2,7 days,✓ Inspect tool wear
M439,62.4,Warning ,0.0,7 days,✓ Inspect tool wear
M440,62.1,Warning ,0.0,7 days,✓ Inspect tool wear
M441,76.5,Good ,0.0,14 days,✓ Continue monitoring normally
M442,59.9,Warning ,0.0,7 days,✓ Inspect tool wear
M443,15.4,Critical ,100.0,Critical,✓ Inspect tool wear
M444,77.3,Good ,0.1,14 days,✓ Continue monitoring normally
M445,63.8,Warning ,0.0,7 days,✓ Inspect tool wear
M446,55.1,Warning ,10.2,7 days,✓ Inspect tool wear
M447,30.9,Poor ,58.3,2-3 days,✓ Inspect tool wear
M448,65.2,Warning ,0.4,7 days,✓ Inspect tool wear
M449,65.2,Warning ,0.1,7 days,✓ Inspect tool wear
M450,61.8,Warning ,0.0,7 days,✓ Inspect tool wear
M451,72.8,Warning ,0.0,14 days,✓ Inspect tool wear
M452,66.8,Warning ,0.0,7 days,✓ Inspect tool wear
M453,59.9,Warning ,0.0,7 days,✓ Inspect tool wear
M454,62.8,Warning ,0.0,7 days,✓ Inspect tool wear
M455,63.0,Warning ,0.0,7 days,✓ Inspect tool wear
M456,61.4,Warning ,0.0,7 days,✓ Inspect tool wear
M457,61.0,Warning ,0.0,7 days,✓ Inspect tool wear
M458,62.5,Warning ,0.1,7 days,✓ Inspect tool wear
M459,64.0,Warning ,0.0,7 days,✓ Inspect tool wear
M460,73.5,Warning ,0.3,14 days,✓ Inspect tool wear
M461,61.3,Warning ,0.1,7 days,✓ Inspect tool wear
M462,72.9,Warning ,0.0,14 days,✓ Inspect tool wear
M463,64.8,Warning ,0.0,7 days,✓ Inspect tool wear
M464,62.9,Warning ,0.0,7 days,✓ Inspect tool wear
M465,80.1,Good ,0.0,14 days,✓ Continue monitoring normally
M466,62.2,Warning ,0.0,7 days,✓ Inspect tool wear
M467,63.5,Warning ,0.1,7 days,✓ Inspect tool wear
M468,61.4,Warning ,0.0,7 days,✓ Inspect tool wear
M469,59.4,Warning ,0.0,7 days,✓ Inspect tool wear
M470,60.6,Warning ,0.1,7 days,✓ Inspect tool wear
M471,78.3,Good ,0.0,14 days,✓ Continue monitoring normally
M472,61.5,Warning ,0.3,7 days,✓ Inspect tool wear
M473,59.2,Warning ,0.0,7 days,✓ Inspect tool wear
M474,62.6,Warning ,0.1,7 days,✓ Inspect tool wear
M475,61.3,Warning ,0.0,7 days,✓ Inspect tool wear
M476,66.1,Warning ,0.0,7 days,✓ Inspect tool wear
M477,62.5,Warning ,0.0,7 days,✓ Inspect tool wear
M478,37.8,Poor ,44.4,2-3 days,✓ Inspect tool wear
M479,64.3,Warning ,0.0,7 days,✓ Inspect tool wear
M480,63.5,Warning ,0.0,7 days,✓ Inspect tool wear
M481,62.6,Warning ,0.0,7 days,✓ Inspect tool wear
M482,64.4,Warning ,0.4,7 days,✓ Inspect tool wear
M483,72.2,Warning ,0.1,14 days,✓ Inspect tool wear
M484,62.9,Warning ,0.0,7 days,✓ Inspect tool wear
M485,65.1,Warning ,0.0,7 days,✓ Inspect tool wear
M486,63.8,Warning ,0.0,7 days,✓ Inspect tool wear
M487,62.0,Warning ,0.1,7 days,✓ Inspect tool wear
M488,63.5,Warning ,0.0,7 days,✓ Inspect tool wear
M489,11.8,Critical ,100.0,Critical,✓ Inspect tool wear
M490,61.7,Warning ,0.0,7 days,✓ Inspect tool wear
M491,26.9,Poor ,63.8,2-3 days,✓ Inspect tool wear
M492,63.2,Warning ,0.0,7 days,✓ Inspect tool wear
M493,61.2,Warning ,0.0,7 days,✓ Inspect tool wear
M494,58.8,Warning ,0.8,7 days,✓ Inspect tool wear
M495,60.5,Warning ,0.0,7 days,✓ Inspect tool wear
M496,61.1,Warning ,0.0,7 days,✓ Inspect tool wear
M497,62.9,Warning ,0.0,7 days,✓ Inspect tool wear
M498,60.3,Warning ,0.0,7 days,✓ Inspect tool wear
M499,76.6,Good ,0.0,14 days,✓ Continue monitoring normally
M500,63.6,Warning ,0.1,7 days,✓ Inspect tool wear
M501,61.9,Warning ,0.0,7 days,✓ Inspect tool wear
M502,78.5,Good ,0.0,14 days,✓ Continue monitoring normally
M503,64.2,Warning ,0.1,7 days,✓ Inspect tool wear
M504,60.6,Warning ,0.0,7 days,✓ Inspect tool wear
M505,63.5,Warning ,0.1,7 days,✓ Inspect tool wear
M506,62.8,Warning ,0.0,7 days,✓ Inspect tool wear
M507,62.1,Warning ,0.0,7 days,✓ Inspect tool wear
M508,61.5,Warning ,0.0,7 days,✓ Inspect tool wear
M509,63.0,Warning ,0.0,7 days,✓ Inspect tool wear
M510,63.5,Warning ,0.4,7 days,✓ Inspect tool wear
M511,64.0,Warning ,0.0,7 days,✓ Inspect tool wear
M512,64.6,Warning ,0.0,7 days,✓ Inspect tool wear
M513,61.2,Warning ,0.0,7 days,✓ Inspect tool wear
M514,63.9,Warning ,0.0,7 days,✓ Inspect tool wear
M515,60.8,Warning ,0.0,7 days,✓ Inspect tool wear
M516,61.6,Warning ,0.0,7 days,✓ Inspect tool wear
M517,61.8,Warning ,0.0,7 days,✓ Inspect tool wear
M518,77.4,Good ,0.0,14 days,✓ Continue monitoring normally
M519,64.0,Warning ,0.0,7 days,✓ Inspect tool wear
M520,60.6,Warning ,0.0,7 days,✓ Inspect tool wear
M521,60.8,Warning ,0.1,7 days,✓ Inspect tool wear
M522,64.4,Warning ,0.1,7 days,✓ Inspect tool wear
M523,59.7,Warning ,0.0,7 days,✓ Inspect tool wear
M524,65.2,Warning ,0.0,7 days,✓ Inspect tool wear
M525,64.3,Warning ,0.0,7 days,✓ Inspect tool wear
M526,61.8,Warning ,0.0,7 days,✓ Inspect tool wear
M527,65.3,Warning ,0.1,7 days,✓ Inspect tool wear
M528,62.2,Warning ,0.5,7 days,✓ Inspect tool wear
M529,63.8,Warning ,0.0,7 days,✓ Inspect tool wear
M530,60.9,Warning ,0.0,7 days,✓ Inspect tool wear
M531,63.4,Warning ,0.0,7 days,✓ Inspect tool wear
M532,64.9,Warning ,0.0,7 days,✓ Inspect tool wear
M533,61.1,Warning ,0.0,7 days,✓ Inspect tool wear
M534,58.6,Warning ,0.3,7 days,✓ Inspect tool wear
M535,66.4,Warning ,0.1,7 days,✓ Inspect tool wear
