timestamp,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,shift,production_load,power_quality_index,maintenance_window,operator_experience
2025-01-04 00:00:00,73,L47252,L,298.9,309.1,1369,44.4,198,0,No Failure,Night,0.602208846849441,0.19523022437605075,1,5
2025-01-04 01:00:00,74,L47253,L,299.0,309.1,1592,35.0,200,0,No Failure,Night,0.9261845713819337,0.3393915007024205,1,2
2025-01-04 02:00:00,75,L47254,L,298.9,309.0,1601,32.3,202,0,No Failure,Night,0.8827429375390468,0.9299152637400374,1,5
2025-01-04 03:00:00,76,L47255,L,298.8,308.9,1379,46.7,204,0,No Failure,Night,0.8916028672163949,1.1709300619256575,1,2
2025-01-04 04:00:00,77,L47256,L,298.8,308.9,1461,47.9,206,0,No Failure,Night,0.9085081386743783,-0.1378659101397719,1,1
2025-01-04 05:00:00,78,L47257,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,Night,0.6296178606936361,1.573037939579864,1,4
2025-01-04 06:00:00,79,L47258,L,298.8,308.9,1398,51.5,0,0,No Failure,Night,0.7433862914177091,0.935513329639599,0,4
2025-01-04 07:00:00,80,L47259,L,298.8,308.9,1402,37.9,2,0,No Failure,Night,0.6463476238100518,-0.8657083186381295,0,4
2025-01-04 08:00:00,81,H29494,H,298.8,308.8,1445,49.9,4,0,No Failure,Morning,0.9452413703502374,-0.07892648246073042,0,5
2025-01-04 09:00:00,82,L47261,L,298.9,308.9,1450,47.5,9,0,No Failure,Morning,0.8493192507310232,0.3458713263483363,0,1
2025-01-04 10:00:00,83,L47262,L,298.9,308.9,1453,40.8,11,0,No Failure,Morning,0.7323592099410596,0.7771423111589449,0,5
2025-01-04 11:00:00,84,L47263,L,299.0,309.0,1469,40.1,13,0,No Failure,Morning,0.6254233401144095,2.739278795503996,0,5
2025-01-04 12:00:00,85,L47264,L,298.9,308.9,1422,47.6,15,0,No Failure,Morning,0.7243929286862649,1.0881713061396283,0,1
2025-01-04 13:00:00,86,M14945,M,299.0,309.0,1804,26.8,17,0,No Failure,Morning,0.7300733288106989,0.00922811010137492,0,1
2025-01-04 14:00:00,87,H29500,H,299.0,309.0,1436,43.9,20,0,No Failure,Morning,0.8918424713352255,1.0706308043071633,0,1
2025-01-04 15:00:00,88,L47267,L,299.0,309.0,1544,31.8,25,0,No Failure,Morning,0.8550229885420852,0.49791225254611904,0,1
2025-01-04 16:00:00,89,M14948,M,299.0,309.0,1419,45.2,27,0,No Failure,Evening,0.9548850970305306,1.1747582395335416,0,4
2025-01-04 17:00:00,90,M14949,M,298.9,308.9,1487,39.5,30,0,No Failure,Evening,0.7888859700647797,1.4305676870356148,0,3
2025-01-04 18:00:00,91,L47270,L,298.9,308.9,1753,25.8,33,0,No Failure,Evening,0.6478376983753207,2.059230647223938,0,3
2025-01-04 19:00:00,92,L47271,L,298.9,308.9,1830,24.9,35,0,No Failure,Evening,0.885297914889198,0.8257135043299741,0,1
2025-01-04 20:00:00,93,M14952,M,298.9,308.9,1727,27.1,37,0,No Failure,Evening,0.9043140194467589,2.488960527599833,0,3
2025-01-04 21:00:00,94,L47273,L,299.1,309.0,1450,43.0,40,0,No Failure,Evening,0.8245108790277985,1.7580226625361912,0,3
2025-01-04 22:00:00,95,L47274,L,299.0,308.9,1622,31.9,42,0,No Failure,Evening,0.9083868719818244,0.14256045518781213,0,1
2025-01-04 23:00:00,96,M14955,M,299.0,309.0,1351,52.2,44,0,No Failure,Evening,0.7975182385457563,3.059855665748464,0,3
2025-01-05 00:00:00,97,M14956,M,299.0,309.0,1575,35.3,47,0,No Failure,Night,0.8090931317527976,1.1769945132700976,0,5
2025-01-05 01:00:00,98,M14957,M,298.9,308.9,1750,29.9,50,0,No Failure,Night,0.7710164073434198,0.014875496027764834,0,2
2025-01-05 02:00:00,99,L47278,L,298.9,308.8,1529,32.7,53,0,No Failure,Night,0.610167650697638,2.5029130512304216,0,2
2025-01-05 03:00:00,100,L47279,L,298.8,308.8,1523,44.4,55,0,No Failure,Night,0.6431565707973218,2.9277775851984447,0,1
2025-01-05 04:00:00,101,L47280,L,298.8,308.9,1852,25.0,57,0,No Failure,Night,0.6125716742746937,0.8169747362804394,0,4
2025-01-05 05:00:00,102,L47281,L,298.8,308.8,1991,20.7,59,0,No Failure,Night,0.8545641645055122,0.34634973962440363,0,1
2025-01-05 06:00:00,103,L47282,L,298.8,308.8,1555,40.6,61,0,No Failure,Night,0.7257423924305306,0.677625042546338,0,4
2025-01-05 07:00:00,104,M14963,M,298.8,308.8,1441,40.5,63,0,No Failure,Night,0.8034282764658811,1.5647317275176997,0,2
2025-01-05 08:00:00,105,L47284,L,298.8,308.7,1450,43.4,66,0,No Failure,Morning,0.9630265895704372,2.127856655030514,0,1
2025-01-05 09:00:00,106,L47285,L,298.8,308.7,1591,31.1,68,0,No Failure,Morning,0.69971689165955,1.4204873308635735,0,5
2025-01-05 10:00:00,107,L47286,L,298.8,308.7,1445,48.5,70,0,No Failure,Morning,0.7641531692142519,0.9517232084717697,0,3
2025-01-05 11:00:00,108,M14967,M,298.8,308.8,1497,46.8,72,0,No Failure,Morning,0.9022204554172195,2.3480117703044274,0,4
2025-01-05 12:00:00,109,H29522,H,298.9,308.8,1621,32.7,75,0,No Failure,Morning,0.6915192661966489,0.5371635269484778,0,3
2025-01-05 13:00:00,110,L47289,L,298.9,308.7,1572,34.1,80,0,No Failure,Morning,0.6307919639315172,1.880919338366907,0,3
2025-01-05 14:00:00,111,L47290,L,298.8,308.6,1872,22.5,82,0,No Failure,Morning,0.7159005811655073,0.5619372016487214,0,1
2025-01-05 15:00:00,112,H29525,H,298.7,308.6,1499,43.5,84,0,No Failure,Morning,0.6644885149016018,1.2810229580108932,0,3
2025-01-05 16:00:00,113,M14972,M,298.8,308.7,1498,39.5,89,0,No Failure,Evening,0.9718790609370292,0.7364374352095485,0,5
2025-01-05 17:00:00,114,M14973,M,298.8,308.6,1486,41.9,92,0,No Failure,Evening,0.9232481518257668,0.7941478173471891,0,3
2025-01-05 18:00:00,115,L47294,L,298.8,308.6,1680,29.4,95,0,No Failure,Evening,0.8533615026041694,0.47261348253779006,0,1
2025-01-05 19:00:00,116,L47295,L,298.8,308.6,1431,45.7,97,0,No Failure,Evening,0.9485842360750871,2.1948540311806943,0,5
2025-01-05 20:00:00,117,L47296,L,298.9,308.7,1564,34.1,99,0,No Failure,Evening,0.9214688307596458,0.1170739618914649,0,2
2025-01-05 21:00:00,118,L47297,L,298.8,308.6,1599,33.0,101,0,No Failure,Evening,0.6746280235544143,0.10976774745129159,0,3
2025-01-05 22:00:00,119,M14978,M,298.8,308.6,1707,28.1,103,0,No Failure,Evening,0.9570235993959911,2.9709935658451094,0,1
2025-01-05 23:00:00,120,L47299,L,298.7,308.5,1467,40.7,106,0,No Failure,Evening,0.8157368967662603,1.8278475646543315,0,2
2025-01-06 00:00:00,121,L47300,L,298.9,308.7,1433,44.7,108,0,No Failure,Night,0.922976062065625,-1.5351136986930363,0,2
2025-01-06 01:00:00,122,L47301,L,298.9,308.7,1558,41.2,110,0,No Failure,Night,0.9584365199693973,0.2847412607895964,0,4
2025-01-06 02:00:00,123,L47302,L,299.0,308.8,1310,50.7,112,0,No Failure,Night,0.7272013899887455,-0.9619893375620542,0,5
2025-01-06 03:00:00,124,L47303,L,298.9,308.7,1546,43.4,114,0,No Failure,Night,0.6440207698110707,-0.10069069341525516,0,3
2025-01-06 04:00:00,125,L47304,L,298.9,308.7,1727,29.4,116,0,No Failure,Night,0.6911740650167767,-2.2885146662340397,0,1
2025-01-06 05:00:00,126,L47305,L,298.9,308.6,1560,32.2,118,0,No Failure,Night,0.7708431154505025,0.7130104223060576,0,4
2025-01-06 06:00:00,127,L47306,L,299.0,308.6,1329,60.5,120,0,No Failure,Night,0.9272059063689972,-0.29194181916131157,1,5
2025-01-06 07:00:00,128,L47307,L,298.9,308.6,1413,46.5,122,0,No Failure,Night,0.9442922333025374,0.9099052567964384,1,4
2025-01-06 08:00:00,129,L47308,L,299.0,308.6,1587,38.6,124,0,No Failure,Morning,0.6027808522124762,-0.7751212588825248,1,5
2025-01-06 09:00:00,130,L47309,L,298.9,308.5,1559,34.3,126,0,No Failure,Morning,0.8042989210310263,0.93291185317204,1,5
2025-01-06 10:00:00,131,L47310,L,298.8,308.4,1473,41.1,128,0,No Failure,Morning,0.7669644012595116,0.4350837218796727,1,3
2025-01-06 11:00:00,132,L47311,L,298.8,308.4,1737,27.7,130,0,No Failure,Morning,0.6888431241882921,2.3519529651885955,1,5
2025-01-06 12:00:00,133,M14992,M,298.7,308.4,1441,43.2,132,0,No Failure,Morning,0.6479461469334731,2.261356861745625,1,4
2025-01-06 13:00:00,134,M14993,M,298.7,308.4,1430,49.6,135,0,No Failure,Morning,0.7350460685614512,1.635345603010283,1,5
2025-01-06 14:00:00,135,L47314,L,298.8,308.4,1369,53.0,138,0,No Failure,Morning,0.9771638815650077,0.5233862193387874,1,3
2025-01-06 15:00:00,136,M14995,M,298.8,308.5,1711,28.5,140,0,No Failure,Morning,0.7292811728083021,2.835380395260293,1,3
2025-01-06 16:00:00,137,H29550,H,298.7,308.5,1420,45.7,143,0,No Failure,Evening,0.8075162486973464,-0.7030352778398207,1,4
2025-01-06 17:00:00,138,L47317,L,298.7,308.6,1297,55.3,148,0,No Failure,Evening,0.881207583558071,-0.5535586295636626,1,2
2025-01-06 18:00:00,139,H29552,H,298.8,308.6,1449,49.4,150,0,No Failure,Evening,0.7454518409517176,0.7662169001109354,1,2
2025-01-06 19:00:00,140,L47319,L,298.8,308.6,1268,55.8,155,0,No Failure,Evening,0.9887128330883843,3.1040381089211193,1,5
2025-01-06 20:00:00,141,L47320,L,298.8,308.6,1511,36.1,157,0,No Failure,Evening,0.9849789179768444,0.6476610931299125,1,1
2025-01-06 21:00:00,142,L47321,L,298.7,308.5,1544,35.2,159,0,No Failure,Evening,0.7007129183301457,0.666754756790718,1,5
2025-01-06 22:00:00,143,M15002,M,298.6,308.4,1778,28.2,161,0,No Failure,Evening,0.7988994023569542,-0.5919103561118092,1,4
2025-01-06 23:00:00,144,H29557,H,298.6,308.4,1407,50.5,164,0,No Failure,Evening,0.7203513239267079,1.7959295852703785,1,4
2025-01-07 00:00:00,145,M15004,M,298.6,308.4,1391,42.4,169,0,No Failure,Night,0.713936197750987,1.8031762543293537,1,4
2025-01-07 01:00:00,146,L47325,L,298.5,308.4,1513,33.6,172,0,No Failure,Night,0.6147547789418131,1.63907520139991,1,4
2025-01-07 02:00:00,147,H29560,H,298.5,308.4,1612,36.1,174,0,No Failure,Night,0.8438257335919588,0.2207793271526376,1,4
2025-01-07 03:00:00,148,L47327,L,298.4,308.4,1515,40.1,179,0,No Failure,Night,0.8010716092915446,0.14329323162699426,1,3
2025-01-07 04:00:00,149,M15008,M,298.3,308.3,1379,48.0,181,0,No Failure,Night,0.6205915004999957,-0.44312225040497044,1,2
2025-01-07 05:00:00,150,L47329,L,298.4,308.3,1473,39.9,184,0,No Failure,Night,0.7114585856946446,0.9338725017609336,1,4
2025-01-07 06:00:00,151,L47330,L,298.4,308.3,1422,42.7,186,0,No Failure,Night,0.9633063543866615,-0.23040732927850172,1,1
2025-01-07 07:00:00,152,M15011,M,298.4,308.2,1463,37.6,188,0,No Failure,Night,0.695824756266789,-0.32741650524928867,1,1
2025-01-07 08:00:00,153,M15012,M,298.4,308.2,1584,41.0,191,0,No Failure,Morning,0.6579579488364892,0.42630928308932403,1,1
2025-01-07 09:00:00,154,L47333,L,298.4,308.2,1850,27.0,194,0,No Failure,Morning,0.7957811041110252,0.3608438248157838,1,1
2025-01-07 10:00:00,155,L47334,L,298.4,308.2,1528,36.2,196,0,No Failure,Morning,0.9942601816442402,0.3120214711780449,1,3
2025-01-07 11:00:00,156,H29569,H,298.4,308.2,1987,19.8,198,0,No Failure,Morning,0.6968221086046001,1.3164445968402614,1,1
2025-01-07 12:00:00,157,M15016,M,298.4,308.1,1495,46.0,203,0,No Failure,Morning,0.8688542189623514,0.9290478021502792,1,4
2025-01-07 13:00:00,158,H29571,H,298.4,308.2,1478,43.5,206,0,No Failure,Morning,0.9046478461314871,0.5618439694888824,1,5
2025-01-07 14:00:00,159,M15018,M,298.4,308.2,1499,40.0,211,0,No Failure,Morning,0.6950550175969599,1.033012928311482,1,1
2025-01-07 15:00:00,160,L47339,L,298.4,308.2,1471,47.0,214,0,No Failure,Morning,0.8912865394447438,-0.1415270411046322,1,3
2025-01-07 16:00:00,161,L47340,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure,Evening,0.7471132530877013,0.9552786239096779,1,3
2025-01-07 17:00:00,162,L47341,L,298.3,308.1,1412,52.3,218,1,Overstrain Failure,Evening,0.8529223322374317,1.0006024928446338,1,1
2025-01-07 18:00:00,163,L47342,L,298.3,308.1,1586,35.5,0,0,No Failure,Evening,0.8534118843043579,-0.6530468593574806,0,5
2025-01-07 19:00:00,164,M15023,M,298.4,308.2,1468,43.8,2,0,No Failure,Evening,0.8143098736299034,1.845693754370362,0,1
2025-01-07 20:00:00,165,M15024,M,298.5,308.3,1440,43.6,5,0,No Failure,Evening,0.6361159080217633,-0.03143370522699551,0,3
2025-01-07 21:00:00,166,L47345,L,298.5,308.4,1733,26.0,8,0,No Failure,Evening,0.9341209982356952,0.940309799206435,0,2
2025-01-07 22:00:00,167,H29580,H,298.4,308.2,1612,32.6,10,0,No Failure,Evening,0.7283120259886944,2.0144117405352704,0,4
2025-01-07 23:00:00,168,H29581,H,298.4,308.3,1458,42.9,15,0,No Failure,Evening,0.6746074041599417,1.7756767577138692,0,3
2025-01-08 00:00:00,169,L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure,Night,0.6163100566219055,0.8843333885688355,0,1
2025-01-08 01:00:00,170,L47349,L,298.4,308.3,1318,59.1,22,0,No Failure,Night,0.8363571772752967,0.48750099711793143,0,4
2025-01-08 02:00:00,171,M15030,M,298.4,308.2,1610,35.0,24,0,No Failure,Night,0.871025744736913,1.7975119085755673,0,1
2025-01-08 03:00:00,172,L47351,L,298.2,308.1,1462,50.8,27,0,No Failure,Night,0.6066351315711425,1.5246949778086198,0,1
2025-01-08 04:00:00,173,M15032,M,298.1,308.0,1924,20.8,29,0,No Failure,Night,0.8048372233197124,0.23163497995587,0,2
2025-01-08 05:00:00,174,M15033,M,298.2,308.0,1591,33.7,32,0,No Failure,Night,0.6905983100791752,0.05510635299830957,0,4
2025-01-08 06:00:00,175,L47354,L,298.2,308.1,1306,58.3,35,0,No Failure,Night,0.8580691161637799,-1.222355181695998,0,4
2025-01-08 07:00:00,176,L47355,L,298.2,308.1,1382,43.5,37,0,No Failure,Night,0.6697465716019966,1.0040318416835874,0,2
2025-01-08 08:00:00,177,L47356,L,298.2,308.1,1618,34.7,39,0,No Failure,Morning,0.8763750952409863,0.7673022549816013,0,3
2025-01-08 09:00:00,178,L47357,L,298.2,308.2,1988,21.4,41,0,No Failure,Morning,0.7546941385202149,1.9861913746425421,0,1
2025-01-08 10:00:00,179,L47358,L,298.2,308.2,1436,50.2,43,0,No Failure,Morning,0.9746919954946938,1.2090550934803668,0,5
2025-01-08 11:00:00,180,L47359,L,298.2,308.3,1304,49.8,45,0,No Failure,Morning,0.6550083776583973,2.1842291941726906,0,1
2025-01-08 12:00:00,181,L47360,L,298.2,308.3,1475,49.9,47,0,No Failure,Morning,0.7364265404201034,0.15263577208382917,0,1
2025-01-08 13:00:00,182,H29595,H,298.2,308.3,1824,24.2,49,0,No Failure,Morning,0.6453894084962356,1.9881503309676183,0,3
2025-01-08 14:00:00,183,M15042,M,298.1,308.2,1342,48.1,54,0,No Failure,Morning,0.9698774473114251,0.3210836208953448,0,1
2025-01-08 15:00:00,184,L47363,L,298.1,308.2,1485,40.7,57,0,No Failure,Morning,0.9509357413523924,1.6275960617922722,0,2
2025-01-08 16:00:00,185,L47364,L,298.2,308.2,1667,30.6,59,0,No Failure,Evening,0.7031766510860622,-0.6087583925306935,0,2
2025-01-08 17:00:00,186,L47365,L,298.2,308.2,1446,38.2,61,0,No Failure,Evening,0.8639936184136716,1.0851352993661885,0,4
2025-01-08 18:00:00,187,L47366,L,298.1,308.3,1301,56.0,63,0,No Failure,Evening,0.9268888800804863,-1.1346879414459101,0,5
2025-01-08 19:00:00,188,L47367,L,298.2,308.4,1379,43.1,65,0,No Failure,Evening,0.822080324639785,0.5828625140582453,0,1
2025-01-08 20:00:00,189,L47368,L,298.3,308.5,1606,33.6,67,0,No Failure,Evening,0.8118602313424026,1.2903539938779136,0,1
2025-01-08 21:00:00,190,M15049,M,298.3,308.4,1539,43.4,69,0,No Failure,Evening,0.6967409163601807,0.3290314487689042,0,3
2025-01-08 22:00:00,191,L47370,L,298.2,308.4,1477,49.9,72,0,No Failure,Evening,0.6372411071223597,-0.20043762875596738,0,2
2025-01-08 23:00:00,192,L47371,L,298.2,308.4,1666,34.6,74,0,No Failure,Evening,0.9588863031813307,1.6961184692959337,0,5
2025-01-09 00:00:00,193,H29606,H,298.2,308.4,1398,51.8,76,0,No Failure,Night,0.9601672228653322,0.7465372101530765,0,4
2025-01-09 01:00:00,194,H29607,H,298.2,308.4,1678,34.6,81,0,No Failure,Night,0.8532405829093072,0.3604293529693284,0,2
2025-01-09 02:00:00,195,M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure,Night,0.7356119164194803,0.8918959211542765,0,4
